"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "Markdown", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\shared\RichText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 20, 15, 98
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\ui\ScrollReveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 7, 54
"d:\PROJECTS\SELF PROJECT\kombinara\src\hooks\useScrollReveal.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 10, 51
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\activity\calculator.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 6, 40
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\ai\models.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 3, 10
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\ai\prompts.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 7, 71
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\alerts.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 13, 108
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\data\materi.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 22, 14, 77
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\data\siswa-dashboard.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 11, 132
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\data\user-profile.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 31, 18, 146
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\logger.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 6, 57
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\prisma\client.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\redis\cache.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 52, 13, 121
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\redis\client.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 21, 10, 51
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\supabase\client.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 3, 13
"d:\PROJECTS\SELF PROJECT\kombinara\src\lib\supabase\server.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"d:\PROJECTS\SELF PROJECT\kombinara\src\middleware.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 6, 12, 84
"d:\PROJECTS\SELF PROJECT\kombinara\src\types\css.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\PROJECTS\SELF PROJECT\kombinara\src\types\database.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 2, 12
"d:\PROJECTS\SELF PROJECT\kombinara\src\types\index.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 7, 14, 101
"d:\PROJECTS\SELF PROJECT\kombinara\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"d:\PROJECTS\SELF PROJECT\kombinara\tsconfig.json", "JSON with Comments", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"Total", "-", 45, 10074, 30, 1419, 4, 214, 4293, 40, 240, 495, 781, 17635
